
Komşu olmayan ilçeler arasındaki mesafeler:
Aliağa (0) - Balçova (1): Tanımlı = 91 km, Hesaplanan = 76 km, Fark = 15 km
Bayraklı (3) - Torbalı (28): Tanımlı = 46 km, Hesaplanan = 46 km, Fark = 0 km
Bayraklı (3) - Urla (29): Tanımlı = 65 km, Hesaplanan = 52 km, Fark = 13 km
Bergama (4) - Balçova (1): Tanımlı = 138 km, Hesaplanan = 123 km, Fark = 15 km
Bergama (4) - Bayındır (2): Tanımlı = 172 km, Hesaplanan = 168 km, Fark = 4 km
Bergama (4) - Bayraklı (3): Tanımlı = 102 km, Hesaplanan = 99 km, Fark = 3 km
Bergama (4) - Beydağ (5): Tanımlı = 235 km, Hesaplanan = 229 km, Fark = 6 km
Bergama (4) - Bornova (6): Tanımlı = 108 km, Hesaplanan = 105 km, Fark = 3 km
Bergama (4) - Buca (7): Tanımlı = 124 km, Hesaplanan = 116 km, Fark = 8 km
Bergama (4) - Çeşme (8): Tanımlı = 212 km, Hesaplanan = 197 km, Fark = 15 km
Bergama (4) - Çiğli (9): Tanımlı = 88 km, Hesaplanan = 88 km, Fark = 0 km
Bergama (4) - Foça (11): Tanımlı = 88 km, Hesaplanan = 88 km, Fark = 0 km
Bergama (4) - Gaziemir (12): Tanımlı = 127 km, Hesaplanan = 113 km, Fark = 14 km
Bergama (4) - Güzelbahçe (13): Tanımlı = 154 km, Hesaplanan = 140 km, Fark = 14 km
Bergama (4) - Karabağlar (14): Tanımlı = 131 km, Hesaplanan = 109 km, Fark = 22 km
Bergama (4) - Karaburun (15): Tanımlı = 229 km, Hesaplanan = 214 km, Fark = 15 km
Bergama (4) - Karşıyaka (16): Tanımlı = 98 km, Hesaplanan = 94 km, Fark = 4 km
Bergama (4) - Kemalpaşa (17): Tanımlı = 127 km, Hesaplanan = 123 km, Fark = 4 km
Bergama (4) - Kiraz (19): Tanımlı = 236 km, Hesaplanan = 230 km, Fark = 6 km
Bergama (4) - Konak (20): Tanımlı = 111 km, Hesaplanan = 107 km, Fark = 4 km
Bergama (4) - Menderes (21): Tanımlı = 143 km, Hesaplanan = 139 km, Fark = 4 km
Bergama (4) - Menemen (22): Tanımlı = 73 km, Hesaplanan = 73 km, Fark = 0 km
Bergama (4) - Narlıdere (23): Tanımlı = 143 km, Hesaplanan = 128 km, Fark = 15 km
Bergama (4) - Ödemiş (24): Tanımlı = 208 km, Hesaplanan = 204 km, Fark = 4 km
Bergama (4) - Seferihisar (25): Tanımlı = 174 km, Hesaplanan = 159 km, Fark = 15 km
Bergama (4) - Selçuk (26): Tanımlı = 176 km, Hesaplanan = 172 km, Fark = 4 km
Bergama (4) - Tire (27): Tanımlı = 185 km, Hesaplanan = 181 km, Fark = 4 km
Bergama (4) - Torbalı (28): Tanımlı = 147 km, Hesaplanan = 143 km, Fark = 4 km
Bergama (4) - Urla (29): Tanımlı = 166 km, Hesaplanan = 151 km, Fark = 15 km
Beydağ (5) - Aliağa (0): Tanımlı = 188 km, Hesaplanan = 185 km, Fark = 3 km
Beydağ (5) - Balçova (1): Tanımlı = 138 km, Hesaplanan = 138 km, Fark = 0 km
Beydağ (5) - Bayındır (2): Tanımlı = 64 km, Hesaplanan = 64 km, Fark = 0 km
Beydağ (5) - Bayraklı (3): Tanımlı = 134 km, Hesaplanan = 134 km, Fark = 0 km
Beydağ (5) - Bergama (4): Tanımlı = 235 km, Hesaplanan = 229 km, Fark = 6 km
Beydağ (5) - Bornova (6): Tanımlı = 132 km, Hesaplanan = 132 km, Fark = 0 km
Beydağ (5) - Buca (7): Tanımlı = 124 km, Hesaplanan = 124 km, Fark = 0 km
Beydağ (5) - Çeşme (8): Tanımlı = 212 km, Hesaplanan = 212 km, Fark = 0 km
Beydağ (5) - Çiğli (9): Tanımlı = 144 km, Hesaplanan = 144 km, Fark = 0 km
Beydağ (5) - Dikili (10): Tanımlı = 248 km, Hesaplanan = 244 km, Fark = 4 km
Beydağ (5) - Foça (11): Tanımlı = 194 km, Hesaplanan = 192 km, Fark = 2 km
Beydağ (5) - Gaziemir (12): Tanımlı = 127 km, Hesaplanan = 127 km, Fark = 0 km
Beydağ (5) - Güzelbahçe (13): Tanımlı = 155 km, Hesaplanan = 154 km, Fark = 1 km
Beydağ (5) - Karabağlar (14): Tanımlı = 131 km, Hesaplanan = 131 km, Fark = 0 km
Beydağ (5) - Karaburun (15): Tanımlı = 229 km, Hesaplanan = 229 km, Fark = 0 km
Beydağ (5) - Karşıyaka (16): Tanımlı = 139 km, Hesaplanan = 139 km, Fark = 0 km
Beydağ (5) - Kemalpaşa (17): Tanımlı = 124 km, Hesaplanan = 124 km, Fark = 0 km
Beydağ (5) - Kınık (18): Tanımlı = 210 km, Hesaplanan = 210 km, Fark = 0 km
Beydağ (5) - Konak (20): Tanımlı = 133 km, Hesaplanan = 133 km, Fark = 0 km
Beydağ (5) - Menderes (21): Tanımlı = 122 km, Hesaplanan = 122 km, Fark = 0 km
Beydağ (5) - Menemen (22): Tanımlı = 162 km, Hesaplanan = 159 km, Fark = 3 km
Beydağ (5) - Narlıdere (23): Tanımlı = 143 km, Hesaplanan = 143 km, Fark = 0 km
Beydağ (5) - Seferihisar (25): Tanımlı = 174 km, Hesaplanan = 174 km, Fark = 0 km
Beydağ (5) - Selçuk (26): Tanımlı = 102 km, Hesaplanan = 102 km, Fark = 0 km
Beydağ (5) - Tire (27): Tanımlı = 62 km, Hesaplanan = 62 km, Fark = 0 km
Beydağ (5) - Torbalı (28): Tanımlı = 93 km, Hesaplanan = 93 km, Fark = 0 km
Beydağ (5) - Urla (29): Tanımlı = 166 km, Hesaplanan = 166 km, Fark = 0 km
Bornova (6) - Aliağa (0): Tanımlı = 61 km, Hesaplanan = 58 km, Fark = 3 km
Bornova (6) - Balçova (1): Tanımlı = 34 km, Hesaplanan = 29 km, Fark = 5 km
Bornova (6) - Bayındır (2): Tanımlı = 68 km, Hesaplanan = 68 km, Fark = 0 km
Bornova (6) - Bergama (4): Tanımlı = 108 km, Hesaplanan = 105 km, Fark = 3 km
Bornova (6) - Beydağ (5): Tanımlı = 132 km, Hesaplanan = 132 km, Fark = 0 km
Bornova (6) - Çeşme (8): Tanımlı = 109 km, Hesaplanan = 103 km, Fark = 6 km
Bornova (6) - Çiğli (9): Tanımlı = 17 km, Hesaplanan = 17 km, Fark = 0 km
Bornova (6) - Dikili (10): Tanımlı = 121 km, Hesaplanan = 117 km, Fark = 4 km
Bornova (6) - Foça (11): Tanımlı = 67 km, Hesaplanan = 65 km, Fark = 2 km
Bornova (6) - Gaziemir (12): Tanımlı = 24 km, Hesaplanan = 19 km, Fark = 5 km
Bornova (6) - Güzelbahçe (13): Tanımlı = 51 km, Hesaplanan = 46 km, Fark = 5 km
Bornova (6) - Karabağlar (14): Tanımlı = 27 km, Hesaplanan = 15 km, Fark = 12 km
Bornova (6) - Karaburun (15): Tanımlı = 126 km, Hesaplanan = 120 km, Fark = 6 km
Bornova (6) - Kınık (18): Tanımlı = 125 km, Hesaplanan = 121 km, Fark = 4 km
Bornova (6) - Kiraz (19): Tanımlı = 132 km, Hesaplanan = 132 km, Fark = 0 km
Bornova (6) - Menderes (21): Tanımlı = 39 km, Hesaplanan = 39 km, Fark = 0 km
Bornova (6) - Narlıdere (23): Tanımlı = 39 km, Hesaplanan = 34 km, Fark = 5 km
Bornova (6) - Ödemiş (24): Tanımlı = 104 km, Hesaplanan = 104 km, Fark = 0 km
Bornova (6) - Seferihisar (25): Tanımlı = 70 km, Hesaplanan = 65 km, Fark = 5 km
Bornova (6) - Selçuk (26): Tanımlı = 72 km, Hesaplanan = 72 km, Fark = 0 km
Bornova (6) - Tire (27): Tanımlı = 81 km, Hesaplanan = 81 km, Fark = 0 km
Bornova (6) - Torbalı (28): Tanımlı = 43 km, Hesaplanan = 43 km, Fark = 0 km
Bornova (6) - Urla (29): Tanımlı = 63 km, Hesaplanan = 57 km, Fark = 6 km
Buca (7) - Aliağa (0): Tanımlı = 76 km, Hesaplanan = 69 km, Fark = 7 km
Buca (7) - Balçova (1): Tanımlı = 14 km, Hesaplanan = 14 km, Fark = 0 km
Buca (7) - Bayındır (2): Tanımlı = 60 km, Hesaplanan = 60 km, Fark = 0 km
Buca (7) - Bayraklı (3): Tanımlı = 23 km, Hesaplanan = 17 km, Fark = 6 km
Buca (7) - Bergama (4): Tanımlı = 124 km, Hesaplanan = 116 km, Fark = 8 km
Buca (7) - Beydağ (5): Tanımlı = 124 km, Hesaplanan = 124 km, Fark = 0 km
Buca (7) - Çeşme (8): Tanımlı = 89 km, Hesaplanan = 88 km, Fark = 1 km
Buca (7) - Çiğli (9): Tanımlı = 32 km, Hesaplanan = 28 km, Fark = 4 km
Buca (7) - Dikili (10): Tanımlı = 136 km, Hesaplanan = 128 km, Fark = 8 km
Buca (7) - Foça (11): Tanımlı = 82 km, Hesaplanan = 76 km, Fark = 6 km
Buca (7) - Güzelbahçe (13): Tanımlı = 31 km, Hesaplanan = 31 km, Fark = 0 km
Buca (7) - Karaburun (15): Tanımlı = 106 km, Hesaplanan = 105 km, Fark = 1 km
Buca (7) - Karşıyaka (16): Tanımlı = 27 km, Hesaplanan = 22 km, Fark = 5 km
Buca (7) - Kınık (18): Tanımlı = 140 km, Hesaplanan = 132 km, Fark = 8 km
Buca (7) - Kiraz (19): Tanımlı = 124 km, Hesaplanan = 124 km, Fark = 0 km
Buca (7) - Menderes (21): Tanımlı = 32 km, Hesaplanan = 32 km, Fark = 0 km
Buca (7) - Menemen (22): Tanımlı = 51 km, Hesaplanan = 43 km, Fark = 8 km
Buca (7) - Narlıdere (23): Tanımlı = 19 km, Hesaplanan = 19 km, Fark = 0 km
Buca (7) - Ödemiş (24): Tanımlı = 96 km, Hesaplanan = 96 km, Fark = 0 km
Buca (7) - Seferihisar (25): Tanımlı = 50 km, Hesaplanan = 50 km, Fark = 0 km
Buca (7) - Selçuk (26): Tanımlı = 65 km, Hesaplanan = 65 km, Fark = 0 km
Buca (7) - Tire (27): Tanımlı = 73 km, Hesaplanan = 73 km, Fark = 0 km
Buca (7) - Urla (29): Tanımlı = 43 km, Hesaplanan = 42 km, Fark = 1 km
Çeşme (8) - Aliağa (0): Tanımlı = 165 km, Hesaplanan = 150 km, Fark = 15 km
Çeşme (8) - Balçova (1): Tanımlı = 74 km, Hesaplanan = 74 km, Fark = 0 km
Çeşme (8) - Bayındır (2): Tanımlı = 149 km, Hesaplanan = 148 km, Fark = 1 km
Çeşme (8) - Bayraklı (3): Tanımlı = 111 km, Hesaplanan = 98 km, Fark = 13 km
Çeşme (8) - Bergama (4): Tanımlı = 212 km, Hesaplanan = 197 km, Fark = 15 km
Çeşme (8) - Beydağ (5): Tanımlı = 212 km, Hesaplanan = 212 km, Fark = 0 km
Çeşme (8) - Bornova (6): Tanımlı = 109 km, Hesaplanan = 103 km, Fark = 6 km
Çeşme (8) - Buca (7): Tanımlı = 89 km, Hesaplanan = 88 km, Fark = 1 km
Çeşme (8) - Çiğli (9): Tanımlı = 121 km, Hesaplanan = 109 km, Fark = 12 km
Çeşme (8) - Dikili (10): Tanımlı = 225 km, Hesaplanan = 209 km, Fark = 16 km
Çeşme (8) - Foça (11): Tanımlı = 171 km, Hesaplanan = 157 km, Fark = 14 km
Çeşme (8) - Gaziemir (12): Tanımlı = 85 km, Hesaplanan = 85 km, Fark = 0 km
Çeşme (8) - Güzelbahçe (13): Tanımlı = 59 km, Hesaplanan = 59 km, Fark = 0 km
Çeşme (8) - Karabağlar (14): Tanımlı = 89 km, Hesaplanan = 88 km, Fark = 1 km
Çeşme (8) - Karaburun (15): Tanımlı = 87 km, Hesaplanan = 87 km, Fark = 0 km
Çeşme (8) - Karşıyaka (16): Tanımlı = 116 km, Hesaplanan = 103 km, Fark = 13 km
Çeşme (8) - Kemalpaşa (17): Tanımlı = 124 km, Hesaplanan = 121 km, Fark = 3 km
Çeşme (8) - Kınık (18): Tanımlı = 229 km, Hesaplanan = 213 km, Fark = 16 km
Çeşme (8) - Kiraz (19): Tanımlı = 213 km, Hesaplanan = 212 km, Fark = 1 km
Çeşme (8) - Konak (20): Tanımlı = 91 km, Hesaplanan = 90 km, Fark = 1 km
Çeşme (8) - Menderes (21): Tanımlı = 120 km, Hesaplanan = 120 km, Fark = 0 km
Çeşme (8) - Menemen (22): Tanımlı = 139 km, Hesaplanan = 124 km, Fark = 15 km
Çeşme (8) - Narlıdere (23): Tanımlı = 71 km, Hesaplanan = 71 km, Fark = 0 km
Çeşme (8) - Ödemiş (24): Tanımlı = 185 km, Hesaplanan = 184 km, Fark = 1 km
Çeşme (8) - Seferihisar (25): Tanımlı = 78 km, Hesaplanan = 78 km, Fark = 0 km
Çeşme (8) - Selçuk (26): Tanımlı = 153 km, Hesaplanan = 150 km, Fark = 3 km
Çeşme (8) - Tire (27): Tanımlı = 162 km, Hesaplanan = 161 km, Fark = 1 km
Çeşme (8) - Torbalı (28): Tanımlı = 124 km, Hesaplanan = 124 km, Fark = 0 km
Çiğli (9) - Aliağa (0): Tanımlı = 41 km, Hesaplanan = 41 km, Fark = 0 km
Çiğli (9) - Balçova (1): Tanımlı = 46 km, Hesaplanan = 35 km, Fark = 11 km
Çiğli (9) - Bayındır (2): Tanımlı = 80 km, Hesaplanan = 80 km, Fark = 0 km
Çiğli (9) - Bayraklı (3): Tanımlı = 11 km, Hesaplanan = 11 km, Fark = 0 km
Çiğli (9) - Bergama (4): Tanımlı = 88 km, Hesaplanan = 88 km, Fark = 0 km
Çiğli (9) - Beydağ (5): Tanımlı = 144 km, Hesaplanan = 144 km, Fark = 0 km
Çiğli (9) - Bornova (6): Tanımlı = 17 km, Hesaplanan = 17 km, Fark = 0 km
Çiğli (9) - Buca (7): Tanımlı = 32 km, Hesaplanan = 28 km, Fark = 4 km
Çiğli (9) - Çeşme (8): Tanımlı = 121 km, Hesaplanan = 109 km, Fark = 12 km
Çiğli (9) - Dikili (10): Tanımlı = 100 km, Hesaplanan = 100 km, Fark = 0 km
Çiğli (9) - Foça (11): Tanımlı = 48 km, Hesaplanan = 48 km, Fark = 0 km
Çiğli (9) - Gaziemir (12): Tanımlı = 36 km, Hesaplanan = 25 km, Fark = 11 km
Çiğli (9) - Güzelbahçe (13): Tanımlı = 63 km, Hesaplanan = 52 km, Fark = 11 km
Çiğli (9) - Karabağlar (14): Tanımlı = 39 km, Hesaplanan = 21 km, Fark = 18 km
Çiğli (9) - Karaburun (15): Tanımlı = 138 km, Hesaplanan = 126 km, Fark = 12 km
Çiğli (9) - Kemalpaşa (17): Tanımlı = 35 km, Hesaplanan = 35 km, Fark = 0 km
Çiğli (9) - Kınık (18): Tanımlı = 104 km, Hesaplanan = 104 km, Fark = 0 km
Çiğli (9) - Kiraz (19): Tanımlı = 144 km, Hesaplanan = 144 km, Fark = 0 km
Çiğli (9) - Konak (20): Tanımlı = 19 km, Hesaplanan = 19 km, Fark = 0 km
Çiğli (9) - Menderes (21): Tanımlı = 51 km, Hesaplanan = 51 km, Fark = 0 km
Çiğli (9) - Narlıdere (23): Tanımlı = 51 km, Hesaplanan = 40 km, Fark = 11 km
Çiğli (9) - Ödemiş (24): Tanımlı = 116 km, Hesaplanan = 116 km, Fark = 0 km
Çiğli (9) - Seferihisar (25): Tanımlı = 82 km, Hesaplanan = 71 km, Fark = 11 km
Çiğli (9) - Selçuk (26): Tanımlı = 84 km, Hesaplanan = 84 km, Fark = 0 km
Çiğli (9) - Tire (27): Tanımlı = 93 km, Hesaplanan = 93 km, Fark = 0 km
Çiğli (9) - Torbalı (28): Tanımlı = 55 km, Hesaplanan = 55 km, Fark = 0 km
Çiğli (9) - Urla (29): Tanımlı = 75 km, Hesaplanan = 63 km, Fark = 12 km
Dikili (10) - Aliağa (0): Tanımlı = 60 km, Hesaplanan = 60 km, Fark = 0 km
Dikili (10) - Balçova (1): Tanımlı = 150 km, Hesaplanan = 135 km, Fark = 15 km
Dikili (10) - Bayındır (2): Tanımlı = 184 km, Hesaplanan = 180 km, Fark = 4 km
Dikili (10) - Bayraklı (3): Tanımlı = 115 km, Hesaplanan = 111 km, Fark = 4 km
Dikili (10) - Beydağ (5): Tanımlı = 248 km, Hesaplanan = 244 km, Fark = 4 km
Dikili (10) - Bornova (6): Tanımlı = 121 km, Hesaplanan = 117 km, Fark = 4 km
Dikili (10) - Buca (7): Tanımlı = 136 km, Hesaplanan = 128 km, Fark = 8 km
Dikili (10) - Çeşme (8): Tanımlı = 225 km, Hesaplanan = 209 km, Fark = 16 km
Dikili (10) - Çiğli (9): Tanımlı = 100 km, Hesaplanan = 100 km, Fark = 0 km
Dikili (10) - Foça (11): Tanımlı = 100 km, Hesaplanan = 100 km, Fark = 0 km
Dikili (10) - Gaziemir (12): Tanımlı = 140 km, Hesaplanan = 125 km, Fark = 15 km
Dikili (10) - Güzelbahçe (13): Tanımlı = 167 km, Hesaplanan = 152 km, Fark = 15 km
Dikili (10) - Karabağlar (14): Tanımlı = 143 km, Hesaplanan = 121 km, Fark = 22 km
Dikili (10) - Karaburun (15): Tanımlı = 242 km, Hesaplanan = 226 km, Fark = 16 km
Dikili (10) - Karşıyaka (16): Tanımlı = 110 km, Hesaplanan = 106 km, Fark = 4 km
Dikili (10) - Kemalpaşa (17): Tanımlı = 139 km, Hesaplanan = 135 km, Fark = 4 km
Dikili (10) - Kınık (18): Tanımlı = 46 km, Hesaplanan = 46 km, Fark = 0 km
Dikili (10) - Kiraz (19): Tanımlı = 248 km, Hesaplanan = 244 km, Fark = 4 km
